,bench_prior,wins,scores,fidelity,zone,benchmark,prior
251,B-11_bad,0.0,0.0,11.0,6_12,B-11,bad
252,B-6_at25,1.0,-0.008,11.0,6_12,B-6,at25
253,B-8_at25,1.0,-0.051,11.0,6_12,B-8,at25
254,B-11_at25,1.0,-0.057,11.0,6_12,B-11,at25
255,B-1_at25,0.0,0.0,11.0,6_12,B-1,at25
256,B-0_at25,0.0,0.0,11.0,6_12,B-0,at25
257,B-9_at25,0.0,0.0,11.0,6_12,B-9,at25
258,B-5_at25,1.0,-0.029,11.0,6_12,B-5,at25
259,B-10_at25,1.0,-0.005,11.0,6_12,B-10,at25
260,B-3_at25,1.0,-0.019,11.0,6_12,B-3,at25
261,B-4_at25,1.0,-0.017,11.0,6_12,B-4,at25
262,B-7_at25,1.0,-0.013,11.0,6_12,B-7,at25
263,B-2_at25,0.0,0.0,11.0,6_12,B-2,at25
264,B-0_bad,0.0,0.0,12.0,12_18,B-0,bad
265,B-1_bad,0.0,0.0,12.0,12_18,B-1,bad
266,B-2_bad,0.0,0.0,12.0,12_18,B-2,bad
267,B-3_bad,1.0,-0.015,12.0,12_18,B-3,bad
268,B-4_bad,0.0,0.0,12.0,12_18,B-4,bad
269,B-5_bad,0.0,0.0,12.0,12_18,B-5,bad
270,B-6_bad,0.0,0.0,12.0,12_18,B-6,bad
271,B-7_bad,0.0,0.0,12.0,12_18,B-7,bad
272,B-8_bad,0.0,0.0,12.0,12_18,B-8,bad
273,B-9_bad,0.0,0.0,12.0,12_18,B-9,bad
274,B-10_bad,0.0,0.0,12.0,12_18,B-10,bad
275,B-11_bad,0.0,0.0,12.0,12_18,B-11,bad
276,B-6_at25,1.0,-0.008,12.0,12_18,B-6,at25
277,B-8_at25,1.0,-0.052,12.0,12_18,B-8,at25
278,B-11_at25,1.0,-0.056,12.0,12_18,B-11,at25
279,B-1_at25,0.0,0.0,12.0,12_18,B-1,at25
280,B-0_at25,0.0,0.0,12.0,12_18,B-0,at25
281,B-9_at25,0.0,0.0,12.0,12_18,B-9,at25
282,B-5_at25,1.0,-0.027,12.0,12_18,B-5,at25
283,B-10_at25,1.0,-0.004,12.0,12_18,B-10,at25
284,B-3_at25,1.0,-0.019,12.0,12_18,B-3,at25
285,B-4_at25,1.0,-0.018,12.0,12_18,B-4,at25
286,B-7_at25,1.0,-0.014,12.0,12_18,B-7,at25
287,B-2_at25,0.0,0.0,12.0,12_18,B-2,at25
288,B-0_bad,0.0,0.0,13.0,12_18,B-0,bad
289,B-1_bad,0.0,0.0,13.0,12_18,B-1,bad
290,B-2_bad,0.0,0.0,13.0,12_18,B-2,bad
291,B-3_bad,1.0,-0.015,13.0,12_18,B-3,bad
292,B-4_bad,0.0,0.0,13.0,12_18,B-4,bad
293,B-5_bad,0.0,0.0,13.0,12_18,B-5,bad
294,B-6_bad,0.0,0.0,13.0,12_18,B-6,bad
295,B-7_bad,0.0,0.0,13.0,12_18,B-7,bad
296,B-8_bad,0.0,0.0,13.0,12_18,B-8,bad
297,B-9_bad,0.0,0.0,13.0,12_18,B-9,bad
298,B-10_bad,0.0,0.0,13.0,12_18,B-10,bad
299,B-11_bad,0.0,0.0,13.0,12_18,B-11,bad
300,B-6_at25,1.0,-0.007,13.0,12_18,B-6,at25
301,B-8_at25,1.0,-0.05,13.0,12_18,B-8,at25
302,B-11_at25,1.0,-0.053,13.0,12_18,B-11,at25
303,B-1_at25,0.0,0.0,13.0,12_18,B-1,at25
304,B-0_at25,0.0,0.0,13.0,12_18,B-0,at25
305,B-9_at25,0.0,0.0,13.0,12_18,B-9,at25
306,B-5_at25,1.0,-0.027,13.0,12_18,B-5,at25
307,B-10_at25,1.0,-0.004,13.0,12_18,B-10,at25
308,B-3_at25,1.0,-0.02,13.0,12_18,B-3,at25
309,B-4_at25,1.0,-0.019,13.0,12_18,B-4,at25
310,B-7_at25,1.0,-0.014,13.0,12_18,B-7,at25
311,B-2_at25,0.0,0.0,13.0,12_18,B-2,at25
312,B-0_bad,0.0,0.0,14.0,12_18,B-0,bad
313,B-1_bad,0.0,0.0,14.0,12_18,B-1,bad
314,B-2_bad,0.0,0.0,14.0,12_18,B-2,bad
315,B-3_bad,1.0,-0.016,14.0,12_18,B-3,bad
316,B-4_bad,0.0,0.0,14.0,12_18,B-4,bad
317,B-5_bad,0.0,0.0,14.0,12_18,B-5,bad
318,B-6_bad,0.0,0.0,14.0,12_18,B-6,bad
319,B-7_bad,0.0,0.0,14.0,12_18,B-7,bad
320,B-8_bad,0.0,0.0,14.0,12_18,B-8,bad
321,B-9_bad,0.0,0.0,14.0,12_18,B-9,bad
322,B-10_bad,0.0,0.0,14.0,12_18,B-10,bad
323,B-11_bad,0.0,0.0,14.0,12_18,B-11,bad
324,B-6_at25,1.0,-0.008,14.0,12_18,B-6,at25
325,B-8_at25,1.0,-0.05,14.0,12_18,B-8,at25
326,B-11_at25,1.0,-0.054,14.0,12_18,B-11,at25
327,B-1_at25,0.0,0.0,14.0,12_18,B-1,at25
328,B-0_at25,0.0,0.0,14.0,12_18,B-0,at25
329,B-9_at25,0.0,0.0,14.0,12_18,B-9,at25
330,B-5_at25,1.0,-0.027,14.0,12_18,B-5,at25
331,B-10_at25,1.0,-0.004,14.0,12_18,B-10,at25
332,B-3_at25,1.0,-0.022,14.0,12_18,B-3,at25
333,B-4_at25,1.0,-0.019,14.0,12_18,B-4,at25
334,B-7_at25,1.0,-0.013,14.0,12_18,B-7,at25
335,B-2_at25,1.0,-0.027,14.0,12_18,B-2,at25
336,B-0_bad,0.0,0.0,15.0,12_18,B-0,bad
337,B-1_bad,0.0,0.0,15.0,12_18,B-1,bad
338,B-2_bad,0.0,0.0,15.0,12_18,B-2,bad
339,B-3_bad,1.0,-0.012,15.0,12_18,B-3,bad
340,B-4_bad,0.0,0.0,15.0,12_18,B-4,bad
341,B-5_bad,0.0,0.0,15.0,12_18,B-5,bad
342,B-6_bad,0.0,0.0,15.0,12_18,B-6,bad
343,B-7_bad,0.0,0.0,15.0,12_18,B-7,bad
344,B-8_bad,0.0,0.0,15.0,12_18,B-8,bad
345,B-9_bad,0.0,0.0,15.0,12_18,B-9,bad
346,B-10_bad,0.0,0.0,15.0,12_18,B-10,bad
347,B-11_bad,0.0,0.0,15.0,12_18,B-11,bad
348,B-6_at25,1.0,-0.008,15.0,12_18,B-6,at25
349,B-8_at25,1.0,-0.049,15.0,12_18,B-8,at25
350,B-11_at25,1.0,-0.048,15.0,12_18,B-11,at25
351,B-1_at25,0.0,0.0,15.0,12_18,B-1,at25
352,B-0_at25,0.0,0.0,15.0,12_18,B-0,at25
353,B-9_at25,0.0,0.0,15.0,12_18,B-9,at25
354,B-5_at25,1.0,-0.025,15.0,12_18,B-5,at25
355,B-10_at25,1.0,-0.004,15.0,12_18,B-10,at25
356,B-3_at25,1.0,-0.019,15.0,12_18,B-3,at25
357,B-4_at25,1.0,-0.014,15.0,12_18,B-4,at25
358,B-7_at25,1.0,-0.007,15.0,12_18,B-7,at25
359,B-2_at25,1.0,-0.026,15.0,12_18,B-2,at25
360,B-0_bad,0.0,0.0,16.0,12_18,B-0,bad
361,B-1_bad,0.0,0.0,16.0,12_18,B-1,bad
362,B-2_bad,0.0,0.0,16.0,12_18,B-2,bad
363,B-3_bad,1.0,-0.02,16.0,12_18,B-3,bad
364,B-4_bad,0.0,0.0,16.0,12_18,B-4,bad
365,B-5_bad,0.0,0.0,16.0,12_18,B-5,bad
366,B-6_bad,0.0,0.0,16.0,12_18,B-6,bad
367,B-7_bad,0.0,0.0,16.0,12_18,B-7,bad
